track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
How to Say Sorry,Middle School,217000,0.278,0.412,0.601,0,1,0.315,-5.894,0,0.208,51.649,4,0.501,29,spotify:track:50UZJFIsKu5NiFziKZdkmC
Through and Through,khai dreams,113684,0.383,0.851,0.424,0,6,0.0843,-9.307,1,0.0463,94.927,4,0.591,32,spotify:track:4RHyIzFRht2z17XeHB9dsF
Lemonade,Jeremy Passion,184085,0.726,0.519,0.198,0,8,0.142,-11.927,1,0.049,122.366,4,0.563,54,spotify:track:6Jt96y5MkmIH0b3B8t9IbX
you won't be there for me,slchld,182646,0.226,0.777,0.308,0,2,0.109,-6.483,0,0.0314,94.933,4,0.634,57,spotify:track:7vwhqiIfU8HqXhNgyy8ubR
I Might ◑,HONNE,255799,0.468,0.781,0.302,0.000183,1,0.141,-9.005,1,0.17,135.078,4,0.535,38,spotify:track:5xuYgLzLhNo5nsyLDC2Hse
Corduroy Dreams,Rex Orange County,206975,0.653,0.608,0.305,0,4,0.103,-14.037,1,0.053,113.818,4,0.222,26,spotify:track:02tvc9CFnTyHuSRlGeNv9w
Home,Luke Chiang,170914,0.228,0.798,0.341,5.28e-05,0,0.206,-7.773,1,0.0469,92.99,4,0.393,8,spotify:track:21xCXsuI6easPmJ9e25nkl
Remember Me,UMI,199227,0.456,0.84,0.344,3.36e-05,5,0.35,-8.613,0,0.0374,111.994,4,0.526,62,spotify:track:630Ug0XtmhhFvAKo0PNuEI
Sunflower,Rex Orange County,252231,0.646,0.384,0.765,0.00352,6,0.522,-4.463,1,0.0579,129.903,4,0.567,30,spotify:track:4EpZ4eYuZOwPSSwyqpdHnJ
Every Time Around,Vansire,216337,0.234,0.742,0.556,0.73,1,0.108,-8.252,0,0.0262,110.995,4,0.721,0,spotify:track:22iZ9lazlmjPO9sp0uzUex
Drifting Away,khai dreams,192500,0.739,0.521,0.268,0.177,1,0.0718,-15.199,1,0.0407,119.879,4,0.272,29,spotify:track:6R5JpLDVRgRI6P2OQCjA4n
Jasmine,DPR LIVE,201511,0.331,0.597,0.486,0,8,0.14,-5.893,1,0.0986,137.68,4,0.397,64,spotify:track:2IgbYlOlFpiSFYnsqB39lM
SUGAR,BROCKHAMPTON,204533,0.449,0.453,0.538,0,1,0.19,-8.212,1,0.0638,122.973,4,0.516,68,spotify:track:6U0FIYXCQ3TGrk4tFpLrEA
May I Ask,Luke Chiang,230548,0.407,0.718,0.357,0,2,0.0897,-8.843,1,0.0437,146.006,4,0.347,11,spotify:track:4pV3f1Nn5XtyA9x60rFan7
