track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
"Thumbing My Way - Chop Suey, Seattle, WA 9/6/2002",Pearl Jam,262653,0.524,0.497,0.45,0.00163,7,0.119,-9.912,1,0.025,108.571,4,0.151,20,spotify:track:06rLuBvfNp3EbZSHovnCmw
Diamonds Aren't Forever,Bring Me The Horizon,228067,0.000138,0.226,0.857,0,6,0.0805,-5.379,1,0.208,154.018,4,0.123,34,spotify:track:5fSgXNTAh3ImNGfh9jsE9N
Last Hope,Paramore,309973,0.00411,0.465,0.711,0.000548,5,0.164,-6.178,1,0.0265,101.46,4,0.255,57,spotify:track:2VBluJiNj9bKohWX0dY1Lh
Come On! Feel the Illinoise! Part I: The World's Columbian Exposition Part II: Carl Sandburg Visits Me In A Dream,Sufjan Stevens,405627,0.518,0.43,0.457,0.0868,4,0.123,-8.495,0,0.0332,109.875,4,0.709,0,spotify:track:6oNs211OtOGzyZ2fvnMPHS
guidance,Travis Scott,207107,0.0609,0.702,0.753,1.38e-06,11,0.41,-2.943,1,0.24,139.98,4,0.453,51,spotify:track:2c2csx4OTYtbkzvbSTXlGY
The Gambler,Kenny Rogers,214880,0.342,0.671,0.501,0,4,0.194,-13.119,1,0.0594,87.04,4,0.86,71,spotify:track:5KqldkCunQ2rWxruMEtGh0
One,Ed Sheeran,252760,0.877,0.464,0.321,0,2,0.0789,-11.12,1,0.0418,93.528,4,0.306,39,spotify:track:0A2J5TumCpT4aJVvQHNEQW
Rhythm Of Love,Plain White T's,200200,0.356,0.531,0.542,0,8,0.119,-7.721,1,0.0432,171.878,4,0.726,58,spotify:track:6MDTpYxPFL0wtFd0pjfKws
North Pole Man,Over The Rhine,190133,0.785,0.621,0.185,6.37e-06,5,0.114,-11.025,1,0.0615,103.616,3,0.286,0,spotify:track:1IinoYfx9GFagCQkfqq04j
World Series,Machine Gun Kelly,215107,0.0889,0.864,0.582,0,10,0.085,-8.949,1,0.316,111.013,4,0.151,40,spotify:track:5qkAxtjTFSXDbfB37LWQNH
Let You Go,Machine Gun Kelly,185000,0.197,0.601,0.819,0,10,0.161,-3.835,1,0.101,170.117,4,0.21,40,spotify:track:2CAAwb9GbvargmIqQ08fqC
Look At These Hoes,Santigold,177000,0.0232,0.801,0.762,0.0841,6,0.124,-5.625,1,0.079,142.999,4,0.721,21,spotify:track:7aM71oOz09ccJGzsKeIfpx
Mr. & Mrs. (I Do This For You),Group 1 Crew,207667,0.0157,0.753,0.787,0.0372,2,0.0688,-2.847,0,0.0293,124.98,4,0.853,21,spotify:track:3ojIBq6U3XRMAujWOwpCCE
King Wavy (feat. G-Eazy),KYLE,184571,0.121,0.765,0.484,0,1,0.293,-13.097,0,0.296,111.946,4,0.536,0,spotify:track:7jVKBOFb76u3HzaJ2vaKPW
Doin' What She Likes,Blake Shelton,222613,0.157,0.581,0.767,0,10,0.278,-6.28,1,0.0406,152.011,4,0.832,46,spotify:track:1MDogqDrStFSO9cdUTUFem
Road,Nick Drake,119680,0.866,0.574,0.27,0.786,7,0.0975,-16.024,1,0.0454,150.79,4,0.821,0,spotify:track:5USDPjFjBLfYF2G8UCbRpp
Baby It's You,Smith,207613,0.0156,0.595,0.471,0.127,1,0.173,-10.626,0,0.0295,95.417,4,0.707,39,spotify:track:2KSwmLHkgjZCE49YFkgspo
Fumblin' With The Blues,Tom Waits,182880,0.55,0.422,0.425,0,0,0.118,-8.977,0,0.0383,146.862,4,0.606,0,spotify:track:0dFQaIZv0QjSWX60AENsRU
Grow Up,Cher Lloyd,179453,0.0273,0.589,0.824,0,1,0.483,-2.683,0,0.198,174.156,4,0.594,26,spotify:track:25G3gEPyxrles31Ay2iM48
Anywhere,112,244416,0.174,0.592,0.499,0,5,0.122,-7.806,1,0.277,125.824,4,0.863,50,spotify:track:0Zze3tFRSNwL6KllmYjLgZ
Pussy,Brazilian Girls,248053,0.0191,0.694,0.794,0.0758,4,0.49,-6.741,1,0.108,91.967,4,0.758,37,spotify:track:0nghE8iUqF4SkTaMqQNxiG
Party,Chris Brown,221178,0.0556,0.762,0.576,0,1,0.0866,-4.951,0,0.0829,142.096,4,0.316,62,spotify:track:1KhljCoJ2TgDEldnnfTHHc
Wrong Way,Sublime,136400,0.075,0.62,0.682,0,9,0.103,-6.159,1,0.0417,74.483,4,0.944,36,spotify:track:5cPfmNMC3AENizySC5oPu2
Happy,Ashanti,262227,0.241,0.727,0.515,3.74e-06,2,0.124,-6.553,0,0.0289,89.488,4,0.695,58,spotify:track:6CbcdeTQKj0qTaZTt0xkdk
Golden Haze,Wild Nothing,205911,0.0178,0.423,0.924,0.676,8,0.0989,-5.119,1,0.035,77.521,4,0.547,0,spotify:track:27563YEsBrtBctS2OKOOzp
Crown On The Ground,Sleigh Bells,229373,0.000581,0.429,0.817,0.0328,6,0.0842,-2.491,0,0.0541,84.979,4,0.58,0,spotify:track:2a6hyCvJXQB5DjFnzHHJua
Taking My Time,Kalin and Myles,169213,0.0186,0.811,0.697,0.000704,11,0.115,-7.062,1,0.053,98.003,4,0.783,21,spotify:track:1j6vAe8yUDljc48u3CgaEY
If I Didn't Know Better,Nashville Cast,179587,0.825,0.514,0.261,0,11,0.143,-11.488,0,0.0263,84.758,4,0.429,31,spotify:track:3DlRm5UM8iFQZC9Zt0k0nQ
Generationwhy,ZHU,232133,0.00612,0.734,0.626,0.0276,5,0.106,-7.206,0,0.0354,108.018,4,0.672,43,spotify:track:31ZdIGyNncuufUjNTp5ZY3
Try A Little Tenderness,Otis Redding,201733,0.186,0.587,0.133,2.26e-05,9,0.258,-15.151,0,0.0565,102.938,4,0.068,59,spotify:track:36AlMHDBFwSsD3FQOy1R81
Wild Boy,Machine Gun Kelly,231373,0.0292,0.801,0.682,0,10,0.226,-4.676,0,0.0498,140.061,4,0.484,53,spotify:track:5jcMhhJ0gXhtruaFIBbL3t
This Will Be (An Everlasting Love),Natalie Cole,171960,0.228,0.685,0.623,0.00234,8,0.0295,-11.146,1,0.042,126.739,4,0.896,69,spotify:track:0PDCewmZCp0P5s00bptcdd
Take My Hand,The Cab,207920,0.000199,0.494,0.857,0,10,0.0776,-4.317,1,0.0438,137.996,4,0.491,34,spotify:track:5eHKOG5c9BpOJbgihpjlHB
Wait,M83,343253,0.221,0.437,0.229,0.0599,2,0.0935,-10.514,1,0.0308,147.911,4,0.0754,60,spotify:track:3rTnGUeDrnZV22DvRuUuXr
Jungle Boogie,Kool & The Gang,186533,0.103,0.806,0.838,0.000171,5,0.315,-8.717,1,0.114,107.898,4,0.706,0,spotify:track:4qxCDr5DquZsfaK7lvnY9G
"For the Love of You, Pts. 1 & 2",The Isley Brothers,340000,0.64,0.681,0.263,3.96e-06,2,0.0816,-15.973,1,0.0547,102.81,4,0.741,13,spotify:track:2J6zz86oGWSBiRwn5T26Kw
Brokenheartsville,Joe Nichols,230360,0.126,0.686,0.631,0.000183,10,0.107,-5.182,1,0.0232,103.953,4,0.509,59,spotify:track:0WB48shl2wAH4KqyQkQ8nJ
Collecting Hearts,The Silent Scene,229202,0.0559,0.642,0.912,0,3,0.139,-4.76,1,0.0348,122.995,4,0.521,0,spotify:track:6C3ZZU1mbuPmCDWNloTGhH
WTF (Where They From) [feat. Pharrell Williams],Missy Elliott,192773,0.0181,0.932,0.819,6.81e-06,8,0.0577,-3.484,0,0.203,119.941,4,0.556,47,spotify:track:7IAa7vUJ11STN7le8XaxsH
Honeybee,Seahaven,249723,0.885,0.754,0.0382,0,2,0.166,-11.99,1,0.0411,118.021,4,0.284,0,spotify:track:3IIj1MAqz90ISPRI17YVus
All You Ever,Hunter Hayes,216307,0.0311,0.529,0.441,0,3,0.11,-6.969,0,0.0258,140.139,4,0.225,30,spotify:track:4LETbAvnXdE5cH15bnvPDJ
A Sky Full of Stars - Hardwell Remix,Coldplay,313125,0.00209,0.652,0.657,7.04e-05,3,0.0859,-4.491,0,0.0306,127.998,4,0.0873,47,spotify:track:0WZVGXO8FYpK8v1IDxlOyE
Red Ragtop,Tim McGraw,283560,0.191,0.551,0.671,2.49e-06,7,0.202,-7.888,1,0.0286,77.066,4,0.561,51,spotify:track:5xErd5QhOvTKFU7l8dffWC
