track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
CROWN,TOMORROW X TOGETHER,230707,0.0505,0.622,0.8,0,5,0.0619,-5.819,1,0.0425,110.977,4,0.58,0,spotify:track:32h6yQGn4oAhZ0HRsTMX26
Monster,EXO,221341,0.0066,0.618,0.76,0,6,0.127,-4.312,1,0.0596,150.0,4,0.541,63,spotify:track:7GbUWl6qLW1gdngbEV2WDJ
LOVE SCENARIO,iKON,209648,0.331,0.806,0.707,0,7,0.294,-4.623,1,0.0307,118.011,4,0.746,0,spotify:track:6qAzAmPBUpGrk7XADZHR5k
FANCY,TWICE,213886,0.0132,0.699,0.866,0,5,0.648,-2.138,0,0.0446,132.023,4,0.795,0,spotify:track:60zxdAqWtdDu0vYsbXViA7
EVERYDAY,WINNER,206351,0.289,0.856,0.6,0,7,0.0607,-4.712,1,0.0705,120.022,4,0.711,0,spotify:track:42rziXmwGA04hNSMi2MliA
Not Today,BTS,231860,0.00181,0.594,0.946,1.04e-06,8,0.923,-3.408,1,0.126,110.024,4,0.665,0,spotify:track:7KlTFTpy7dXLzr2NtLkvG6
Cat & Dog,TOMORROW X TOGETHER,187573,0.0668,0.843,0.794,0.000223,8,0.104,-3.013,1,0.147,160.001,4,0.319,0,spotify:track:5cadLqAgl7Y9zX3lRWdsPK
WHISTLE,BLACKPINK,211696,0.00682,0.822,0.712,0,11,0.0955,-4.877,1,0.15,102.874,4,0.647,0,spotify:track:7HWmJ1wBecOAMNGjC6SmKE
Dionysus,BTS,249215,0.04,0.502,0.91,0,7,0.319,-2.769,1,0.107,176.084,4,0.588,0,spotify:track:6JdS5rJvJaRA7B1tcm7kxZ
Wave,ATEEZ,203933,0.0886,0.624,0.86,1.1e-05,1,0.123,-3.346,1,0.0387,99.968,4,0.447,59,spotify:track:28xjm4FnnGI4Xnds7VoNSl
MIROH,Stray Kids,207617,0.00911,0.563,0.979,0,9,0.249,-3.104,1,0.104,126.063,4,0.503,0,spotify:track:4WuKHgxdCJsaOBIh7yndty
What a life,EXO-SC,203867,0.301,0.862,0.782,0,5,0.143,-3.811,0,0.125,135.029,4,0.847,46,spotify:track:3TfLZodlQ1TzNpdrc4KXR5
What is Love?,TWICE,208238,0.0846,0.573,0.91,0,8,0.266,-1.578,1,0.064,169.982,4,0.602,0,spotify:track:4gjVhOuUPOpF23uKkcfVYU
Spring Day,BTS,274097,0.0063,0.539,0.846,1.68e-06,8,0.13,-3.192,1,0.0354,106.992,4,0.46,0,spotify:track:02q0ZnV2L4XByzEvWZJqBC
Cherry Bomb,NCT 127,236667,0.000759,0.713,0.603,5.51e-06,6,0.0453,-4.896,0,0.287,78.027,4,0.799,62,spotify:track:3o8QzWsiiqTUVgBZfHgF58
Side Effects,Stray Kids,193853,0.0215,0.443,0.978,0,2,0.0545,-1.736,1,0.145,129.987,4,0.114,0,spotify:track:1BiXkuVBXz9IzP7210Zo9I
Energetic,Wanna One,189356,0.058,0.714,0.886,0,0,0.112,-3.076,1,0.0461,125.046,4,0.752,57,spotify:track:3NkkcnnKrNHv4AiGaPdD76
FAKE LOVE,BTS,242334,0.00267,0.557,0.719,0,2,0.306,-4.515,0,0.0372,77.501,4,0.344,1,spotify:track:3aW0ds4A4tSQDIp75FqWTo
No,CLC,181976,0.00785,0.76,0.722,0.000326,6,0.116,-4.429,0,0.0908,120.055,4,0.687,48,spotify:track:3sygLAUhHsJsQ0cBk6fxRd
Gotta Go,CHUNG HA,221813,0.0741,0.53,0.829,0,3,0.0993,-2.526,0,0.0445,101.85,4,0.423,0,spotify:track:0xq4ZTcmwBfkPGo4RRKmMe
TWIT,Hwa Sa,190786,0.122,0.679,0.813,2.83e-06,5,0.263,-3.367,0,0.199,136.067,4,0.584,58,spotify:track:6qyz1KOlGJsKYJ4ZsRmRSD
Burning Up (Fire),BTS,203352,0.00227,0.627,0.706,0,10,0.122,-3.201,0,0.0597,99.93,4,0.536,0,spotify:track:4z9gBZQjGS4QLb4LOvmeuA
Don’t Need Your Love,NCT DREAM,201880,0.0632,0.619,0.881,0,7,0.103,-4.683,1,0.0834,160.145,3,0.769,56,spotify:track:7oEm5Q1virEUB9H0XjWZzF
Heartbeat (BTS World Original Soundtrack),BTS,253304,0.39,0.437,0.716,0,5,0.208,-4.306,1,0.05,170.094,4,0.307,62,spotify:track:5EgYDyMDCi8X0zDydTF7Rb
