track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
80's Comedown Machine,The Strokes,298613,0.00583,0.488,0.503,0.809,0,0.101,-8.89,1,0.0326,144.035,4,0.38,52,spotify:track:2lffRiAET2Xt6BNb4EmkS2
Broken Brain,The Frights,193600,0.206,0.627,0.621,0,7,0.123,-4.596,1,0.0291,93.446,4,0.36,24,spotify:track:0Vhncq86Fdg3dH8XsVjxAw
My Iron Lung,Radiohead,276427,0.0565,0.242,0.859,0.114,0,0.38,-8.41,1,0.0663,96.917,4,0.672,59,spotify:track:0jyikFM0Umv0KlnrOEKtTG
Red Minivan,Mike Krol,119627,0.00116,0.513,0.631,0,1,0.171,-4.91,0,0.0402,112.662,4,0.353,0,spotify:track:1NNyqWwsehGBJXwZzOt6hr
I'm So Tired,Fugazi,118933,0.89,0.303,0.129,0.00776,6,0.123,-15.069,1,0.0301,84.167,4,0.155,0,spotify:track:5IafdoRLyaGPeeA6f8ysIe
In the Valley of the Sun,Moistboyz,195837,0.000338,0.593,0.98,0.000668,7,0.107,-4.168,1,0.058,157.085,4,0.778,11,spotify:track:1nlznbg8NIoj0rj1pK9nnk
My Boy - Twin Fantasy,Car Seat Headrest,172920,0.0871,0.568,0.308,0.0418,9,0.128,-9.865,1,0.033,115.078,4,0.379,51,spotify:track:4zQXB3sZrpT2gA3rgYl3sY
Space Worm,Don't Stop or We'll Die,175067,0.0382,0.492,0.77,1.22e-05,4,0.624,-6.021,1,0.0479,202.458,4,0.857,31,spotify:track:4e8MSmu44tIV0ZsHSna5Q0
After Hours,The Velvet Underground,127453,0.836,0.608,0.152,0,7,0.182,-20.989,0,0.172,120.834,4,0.472,57,spotify:track:6cA1usDL8nTHeSgFewQat3
Rancho Pancho,Negativland,148787,0.64,0.417,0.678,0.000842,8,0.236,-7.407,1,0.277,75.074,4,0.605,0,spotify:track:15XdzsMDC8VeI0pEwlJj1x
Manifestations,Birdbath,203077,0.211,0.644,0.621,0.094,2,0.0562,-5.543,1,0.0296,104.062,4,0.561,0,spotify:track:3IrgroGOkMUs0OoQeoUFEH
Pressure,Billy Joel,280333,0.0148,0.548,0.68,0.000949,9,0.0877,-8.675,0,0.0474,148.494,4,0.851,53,spotify:track:3LqvmDtXWXjF7fg8mh8iZh
Sockhead,Destructo Disk,233984,0.83,0.598,0.225,0,3,0.115,-11.141,1,0.0332,94.154,4,0.12,27,spotify:track:3goVSfwAZZJ5p56M7psxIk
Fifteen Minutes,Mike Krol,95000,0.277,0.531,0.859,0.437,11,0.104,-5.743,0,0.047,117.49,4,0.485,0,spotify:track:5bDsXeSxJgNn0jiYFxA3Cd
Invocation,Meth Wax,167191,0.0242,0.363,0.923,0.229,11,0.442,-7.591,0,0.0528,100.173,4,0.215,32,spotify:track:1xIcWGt7To0vPVNMVqKhik
So Many People in the Neighborhood,Ween,210000,0.0649,0.926,0.339,0.91,1,0.143,-11.135,1,0.0637,144.06,4,0.687,0,spotify:track:4oj0ehapLAWXPETtFjKwuI
Pheromones,Meth Wax,156925,0.148,0.179,0.736,0.9,7,0.23,-7.66,1,0.0347,174.564,4,0.83,45,spotify:track:05EzpG5riTDvvmrZJgcBPV
Grapes Of Wrath,Weezer,170718,0.0616,0.697,0.584,1.89e-06,8,0.0935,-6.429,0,0.0324,107.083,4,0.96,42,spotify:track:7s42bmqI0kQpoO80H3Vnqu
Tame,Pixies,116133,0.00404,0.555,0.786,0.758,0,0.4,-6.416,1,0.0707,137.392,4,0.91,0,spotify:track:0jAr9A17yhReqbNLCrM0LO
Gold Day,Sparklehorse,254560,0.196,0.562,0.539,0.66,10,0.115,-11.196,1,0.0317,86.967,4,0.284,40,spotify:track:7yZF4VuAjjcXjcMbqwZtQc
Year of the Horse,Pacific Purgatory,183492,0.198,0.539,0.927,0.0172,4,0.364,-3.99,1,0.0335,160.032,4,0.894,33,spotify:track:7A7oaHDrz9Px1v0svHxQj2
Ladies and gentlemen we are floating in space,Spiritualized,234053,0.753,0.376,0.41,0.000543,2,0.234,-11.452,1,0.034,100.031,3,0.171,51,spotify:track:0fOjUafaAhJV16oRBgCtz7
Breaker,FIDLAR,180000,0.00273,0.558,0.858,0.785,9,0.536,-4.868,1,0.0419,160.0,4,0.278,0,spotify:track:0OzLnRACL5xIdYvUwd0SZv
Pepsi/Coke Suicide,Elvis Depressedly,153095,0.742,0.39,0.419,0.937,0,0.143,-9.049,1,0.0302,79.807,4,0.318,0,spotify:track:2MQi8oVx3eOgDOqmeKJIJZ
Revenge,XXXTENTACION,120027,0.782,0.746,0.251,0.00203,11,0.106,-16.169,0,0.259,139.999,4,0.18,84,spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW
